Severity,RaisedBy,Description,Program,RaisedAt,ResolvedAt,Duration
Warning,M1,condition-BLARF!,,2012-09-28T16:12:50Z,2012-09-28T16:13:05Z,00:00:15
Warning,M1,condition-BLARF!,,2012-09-28T16:13:56Z,2012-09-28T16:14:14Z,00:00:18
Warning,M1,condition-BLARF!,,2012-09-28T16:15:03Z,2012-09-28T16:15:21Z,00:00:18
Warning,M1,condition-BLARF!,,2012-09-28T16:16:11Z,2012-09-28T16:16:28Z,00:00:17
Warning,M1,condition-BLARF!,,2012-09-28T16:17:16Z,2012-09-28T16:17:34Z,00:00:18
Warning,M1,condition-BLARF!,,2012-09-28T16:18:23Z,2012-09-28T16:18:41Z,00:00:18
Warning,M1,condition-BLARF!,,2012-09-28T16:19:31Z,2012-09-28T16:19:48Z,00:00:17
Warning,M1,condition-BLARF!,,2012-09-28T16:20:38Z,2012-09-28T16:20:55Z,00:00:17
Warning,M1,condition-BLARF!,,2012-09-28T16:21:45Z,2012-09-28T16:21:50Z,00:00:05
Warning,M1,condition-BLARF!,,2012-09-28T16:35:18Z,2012-09-28T16:35:26Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:35:52Z,2012-09-28T16:36:00Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:36:25Z,2012-09-28T16:36:33Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:36:58Z,2012-09-28T16:37:06Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:37:31Z,2012-09-28T16:37:39Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:38:04Z,2012-09-28T16:38:13Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:38:36Z,2012-09-28T16:38:46Z,00:00:10
Warning,M1,condition-BLARF!,,2012-09-28T16:39:09Z,2012-09-28T16:39:18Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:39:41Z,2012-09-28T16:39:51Z,00:00:10
Warning,M1,condition-BLARF!,,2012-09-28T16:40:14Z,2012-09-28T16:40:23Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:40:47Z,2012-09-28T16:40:56Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:41:19Z,2012-09-28T16:41:28Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:41:51Z,2012-09-28T16:42:00Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:42:23Z,2012-09-28T16:42:32Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:42:55Z,2012-09-28T16:43:03Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:43:25Z,2012-09-28T16:43:33Z,00:00:08
Warning,M1,condition-BLARF!,,2012-09-28T16:43:56Z,2012-09-28T16:44:05Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:44:29Z,2012-09-28T16:44:38Z,00:00:09
Warning,M1,condition-BLARF!,,2012-09-28T16:58:47Z,2012-09-28T16:58:53Z,00:00:06
Warning,M1,condition-BLARF!,,2012-09-28T16:59:06Z,2012-09-28T16:59:10Z,00:00:04
Warning,M1,condition-BLARF!,,2012-09-28T16:59:23Z,2012-09-28T16:59:27Z,00:00:04
Warning,M1,condition-BLARF!,,2012-09-28T16:59:40Z,2012-09-28T16:59:44Z,00:00:04
Warning,M1,condition-BLARF!,,2012-09-28T16:59:57Z,2012-09-28T17:00:01Z,00:00:04
Warning,M1,condition-BLARF!,,2012-09-28T17:00:14Z,2012-09-28T17:00:20Z,00:00:06
Warning,M1,condition-BLARF!,,2012-09-28T17:00:32Z,2012-09-28T17:00:37Z,00:00:05
