Severity,RaisedBy,Description,Program,RaisedAt,ResolvedAt,Duration
Warning,M2,condition-BLARF!,,2012-09-28T16:07:03Z,2012-09-28T16:07:04Z,00:00:01
Warning,M2,condition-BLARF!,,2012-09-28T16:07:45Z,2012-09-28T16:08:01Z,00:00:16
Warning,M2,condition-BLARF!,,2012-09-28T16:09:48Z,2012-09-28T16:10:04Z,00:00:16
Warning,M2,condition-BLARF!,,2012-09-28T16:10:55Z,2012-09-28T16:11:12Z,00:00:17
Warning,M2,condition-BLARF!,,2012-09-28T16:12:00Z,2012-09-28T16:12:17Z,00:00:17
Warning,M2,condition-BLARF!,,2012-09-28T16:26:24Z,2012-09-28T16:26:41Z,00:00:17
Warning,M2,condition-BLARF!,,2012-09-28T16:27:30Z,2012-09-28T16:27:45Z,00:00:15
Warning,M2,condition-BLARF!,,2012-09-28T16:28:33Z,2012-09-28T16:28:48Z,00:00:15
Warning,M2,condition-BLARF!,,2012-09-28T16:29:25Z,2012-09-28T16:29:33Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:30:01Z,2012-09-28T16:30:10Z,00:00:09
Warning,M2,condition-BLARF!,,2012-09-28T16:30:38Z,2012-09-28T16:30:48Z,00:00:10
Warning,M2,condition-BLARF!,,2012-09-28T16:31:13Z,2012-09-28T16:31:21Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:31:47Z,2012-09-28T16:31:55Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:32:21Z,2012-09-28T16:32:29Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:32:54Z,2012-09-28T16:33:02Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:33:28Z,2012-09-28T16:33:36Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:34:01Z,2012-09-28T16:34:09Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:34:35Z,2012-09-28T16:34:43Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:35:08Z,2012-09-28T16:35:16Z,00:00:08
Warning,M2,condition-BLARF!,,2012-09-28T16:49:21Z,2012-09-28T16:49:27Z,00:00:06
Warning,M2,condition-BLARF!,,2012-09-28T16:49:44Z,2012-09-28T16:49:49Z,00:00:05
Warning,M2,condition-BLARF!,,2012-09-28T16:50:07Z,2012-09-28T16:50:12Z,00:00:05
Warning,M2,condition-BLARF!,,2012-09-28T16:50:29Z,2012-09-28T16:50:35Z,00:00:06
Warning,M2,condition-BLARF!,,2012-09-28T16:50:51Z,2012-09-28T16:50:57Z,00:00:06
Warning,M2,condition-BLARF!,,2012-09-28T16:51:14Z,2012-09-28T16:51:19Z,00:00:05
Warning,M2,condition-BLARF!,,2012-09-28T16:51:36Z,2012-09-28T16:51:41Z,00:00:05
Warning,M2,condition-BLARF!,,2012-09-28T16:51:58Z,2012-09-28T16:52:04Z,00:00:06
