CEchoService::initialize(int aArgc, const char *aArgv[])
3/1/2013 10:05:07 AM: FATAL   [0] CEchoService::serviceThread()
3/1/2013 10:05:12 AM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/1/2013 10:05:12 AM: FATAL   [0] CHtmlTableSnapshots::Init()
3/1/2013 10:05:12 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:12 AM: INFO    [3] GetWebBrowser TrayIcon Null
3/1/2013 10:05:13 AM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/1/2013 10:05:13 AM: FATAL   [0] CHtmlTableSnapshots::Init()
3/1/2013 10:05:13 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:13 AM: INFO    [3] GetWebBrowser TrayIcon Null
3/1/2013 10:05:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:14 AM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/1/2013 10:05:14 AM: FATAL   [0] CHtmlTableSnapshots::Init()
3/1/2013 10:05:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:14 AM: INFO    [3] GetWebBrowser TrayIcon Null
3/1/2013 10:05:14 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:15 AM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/1/2013 10:05:15 AM: FATAL   [0] CHtmlTableSnapshots::Init()
3/1/2013 10:05:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:15 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:15 AM: INFO    [3] GetWebBrowser TrayIcon Null
3/1/2013 10:05:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:16 AM: FATAL   [0] CHtmlTableSnapshots::Cycle()
3/1/2013 10:05:16 AM: FATAL   [0] CHtmlTableSnapshots::Init()
3/1/2013 10:05:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:16 AM: INFO    [3] GetWebBrowser TrayIcon Null
3/1/2013 10:05:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:16 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:17 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:18 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:19 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:20 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:21 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:22 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:23 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:23 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:23 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:23 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:23 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:24 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:24 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:24 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:24 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:24 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:25 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:25 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:25 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:25 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:25 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:26 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:26 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:26 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:26 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/1/2013 10:05:26 AM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
