CEchoService::initialize(int aArgc, const char *aArgv[])
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:28 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:29 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:30 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:30 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:30 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:30 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:30 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:31 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:31 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:31 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:31 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:31 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:32 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:32 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:32 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:24:32 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
